Time (s) - CH 0,Voltage (V) - CH 0,Voltage (V) - CH 1
0,111.988485m,116.475523m
15.625u,112.088621m,117.078424m
31.250u,112.193525m,117.659867m
46.875u,112.304389m,118.229985m
62.500u,112.389326m,118.746758m
78.125u,112.503469m,119.192898m
93.750u,112.629831m,119.508803m
109.375u,112.725198m,119.864345m
125.000u,112.874508m,120.13942m
140.625u,112.990737m,120.284557m
156.250u,113.114119m,120.452344m
171.875u,113.265812m,120.493174m
187.500u,113.372505m,120.433867m
203.125u,113.518536m,120.369792m
218.750u,113.66576m,120.174289m
234.375u,113.760233m,119.903386m
250.000u,113.904476m,119.640827m
265.625u,114.071071m,119.309723m
281.250u,114.18432m,118.920803m
296.875u,114.338696m,118.511915m
312.500u,114.489198m,118.063986m
328.125u,114.592016m,117.49953m
343.750u,114.737749m,116.973519m
359.375u,114.900172m,116.528273m
375.000u,115.020871m,116.016865m
390.625u,115.158558m,115.545392m
406.250u,115.318m,115.094781m
421.875u,115.444362m,114.638507m
437.500u,115.580559m,114.188492m
453.125u,115.733445m,113.714933m
468.750u,115.864873m,113.310814m
484.375u,115.972459m,112.930834m
500.000u,116.102695m,112.609267m
515.625u,116.216242m,112.364292m
531.250u,116.323233m,112.166405m
546.875u,116.447508m,112.024546m
562.500u,116.526186m,111.802518m
578.125u,116.61768m,111.676455m
593.750u,116.688013m,111.692846m
609.375u,116.762519m,111.647844m
625.000u,116.853416m,111.69374m
640.625u,116.885602m,111.809075m
656.250u,116.946995m,111.91994m
671.875u,117.025673m,112.199783m
687.500u,117.078722m,112.484992m
703.125u,117.110014m,112.698078m
718.750u,117.13922m,112.985969m
734.375u,117.186606m,113.344491m
750.000u,117.188692m,113.759339m
765.625u,117.205977m,114.16167m
781.250u,117.26886m,114.607513m
796.875u,117.29598m,115.08584m
812.500u,117.310882m,115.547478m
828.125u,117.337108m,116.041899m
843.750u,117.367208m,116.519332m
859.375u,117.372572m,117.03223m
875.000u,117.395222m,117.519498m
890.625u,117.436945m,117.929876m
906.250u,117.430687m,118.357837m
921.875u,117.430687m,118.702352m
937.500u,117.408633m,118.939877m
953.125u,117.373765m,119.11869m
968.750u,117.394924m,119.303167m
984.375u,117.398202m,119.475126m
1.000m,117.353499m,119.46559m
1.016m,117.307603m,119.457543m
1.031m,117.276311m,119.445622m
1.047m,117.233098m,119.261146m
1.063m,117.172301m,119.054615m
1.078m,117.092431m,118.772984m
1.094m,116.993189m,118.408799m
1.109m,116.922855m,118.05743m
1.125m,116.846859m,117.611289m
1.141m,116.769969m,117.194355m
1.156m,116.691887m,116.826296m
1.172m,116.586983m,116.357505m
1.187m,116.500854m,115.928948m
1.203m,116.423368m,115.503371m
1.219m,116.347969m,115.076303m
1.234m,116.277635m,114.7452m
1.250m,116.18793m,114.448965m
1.266m,116.073191m,114.147365m
1.281m,115.995407m,113.872886m
1.297m,115.920901m,113.681853m
1.313m,115.831494m,113.49678m
1.328m,115.725994m,113.249719m
1.344m,115.630925m,113.093555m
1.359m,115.551949m,113.065541m
1.375m,115.436018m,113.00683m
1.391m,115.368664m,113.047063m
1.406m,115.276575m,113.168657m
1.422m,115.163326m,113.250911m
1.437m,115.07839m,113.373399m
1.453m,114.982128m,113.489628m
1.469m,114.877224m,113.634765m
1.484m,114.78126m,113.812983m
1.500m,114.699006m,114.022493m
1.516m,114.609003m,114.281178m
1.531m,114.534497m,114.507675m
1.547m,114.426613m,114.72851m
1.563m,114.326775m,114.929378m
1.578m,114.217103m,115.155876m
1.594m,114.109516m,115.379095m
1.609m,114.02756m,115.546584m
1.625m,113.900304m,115.763545m
1.641m,113.795698m,115.938187m
1.656m,113.711655m,116.121173m
1.672m,113.654733m,116.339028m
1.687m,113.566518m,116.475821m
1.703m,113.467574m,116.62662m
1.719m,113.414824m,116.796196m
1.734m,113.347769m,116.95385m
1.750m,113.304555m,117.165446m
1.766m,113.265216m,117.333233m
1.781m,113.21485m,117.430687m
1.797m,113.160312m,117.46794m
1.813m,113.128424m,117.479861m
1.828m,113.087893m,117.489994m
1.844m,113.016367m,117.350221m
1.859m,112.989247m,117.254555m
1.875m,112.964809m,117.119551m
1.891m,112.907887m,116.945803m
1.906m,112.86974m,116.897523m
1.922m,112.873018m,116.737485m
1.937m,112.873018m,116.561651m
1.953m,112.841725m,116.382241m
1.969m,112.841129m,116.186738m
1.984m,112.850666m,115.967095m
2.000m,112.821758m,115.672648m
2.016m,112.830698m,115.416944m
2.031m,112.854838m,115.224123m
2.047m,112.856328m,115.035474m
2.063m,112.884641m,114.841759m
2.078m,112.909377m,114.690065m
2.094m,112.920702m,114.514828m
2.109m,113.000274m,114.410818m
2.125m,113.072097m,114.342272m
2.141m,113.113523m,114.327073m
2.156m,113.179684m,114.374757m
2.172m,113.20889m,114.316046m
2.188m,113.267004m,114.292204m
2.203m,113.338828m,114.243925m
2.219m,113.374293m,114.169121m
2.234m,113.417208m,114.185512m
2.250m,113.479793m,114.238858m
2.266m,113.550723m,114.326477m
2.281m,113.628209m,114.475489m
2.297m,113.719702m,114.659667m
2.312m,113.795698m,114.799738m
2.328m,113.876164m,114.96067m
2.344m,114.006102m,115.200281m
2.359m,114.123523m,115.481615m
2.375m,114.246607m,115.868449m
2.391m,114.441812m,116.387904m
2.406m,114.649832m,116.927624m
2.422m,114.844143m,117.490888m
2.437m,115.019977m,117.959976m
2.453m,115.218461m,118.361115m
2.469m,115.419924m,118.820369m
2.484m,115.617514m,119.178593m
2.500m,115.80795m,119.488835m
2.516m,115.995109m,119.7505m
2.531m,116.171539m,119.960308m
2.547m,116.324425m,120.083392m
2.563m,116.511583m,120.037198m
2.578m,116.643608m,120.007694m
2.594m,116.766095m,119.856298m
2.609m,116.904974m,119.570196m
2.625m,116.997063m,119.28916m
2.641m,117.067397m,118.862391m
2.656m,117.127299m,118.379593m
2.672m,117.194355m,117.819011m
2.688m,117.236078m,117.159784m
2.703m,117.278099m,116.596818m
2.719m,117.309391m,116.00107m
2.734m,117.306709m,115.402937m
2.750m,117.344856m,114.896894m
2.766m,117.372274m,114.344656m
2.781m,117.357373m,113.788545m
2.797m,117.319524m,113.142431m
2.812m,117.270648m,112.564266m
2.828m,117.246509m,112.089813m
2.844m,117.183626m,111.502409m
2.859m,117.120743m,111.096799m
2.875m,117.077231m,110.714138m
2.891m,116.971433m,110.301673m
2.906m,116.866827m,110.034943m
2.922m,116.784275m,109.778047m
2.938m,116.672814m,109.636188m
2.953m,116.557479m,109.592378m
2.969m,116.446614m,109.649301m
2.984m,116.323531m,109.81679m
3.000m,116.238892m,110.05342m
3.016m,116.148591m,110.38959m
3.031m,116.00703m,110.786259m
3.047m,115.894675m,111.171603m
3.063m,115.773678m,111.648142m
3.078m,115.654171m,112.183988m
3.094m,115.545392m,112.72341m
3.109m,115.401745m,113.3582m
3.125m,115.292668m,113.998652m
3.141m,115.201175m,114.744306m
3.156m,115.077794m,115.453601m
3.172m,114.977062m,116.125643m
3.188m,114.887357m,116.85878m
3.203m,114.776492m,117.515028m
3.219m,114.676058m,118.168592m
3.234m,114.566684m,118.747056m
3.250m,114.472806m,119.296014m
3.266m,114.385486m,119.779408m
3.281m,114.297569m,120.164454m
3.297m,114.204586m,120.526552m
3.312m,114.109814m,120.763183m
3.328m,114.03203m,120.941401m
3.344m,113.934875m,121.041238m
3.359m,113.843679m,121.045411m
3.375m,113.770068m,121.095777m
3.391m,113.722086m,121.09369m
3.406m,113.663375m,120.979548m
3.422m,113.598406m,120.78166m
3.438m,113.541484m,120.404661m
3.453m,113.455355m,119.943321m
3.469m,113.36714m,119.475424m
3.484m,113.314688m,118.960142m
3.500m,113.264024m,118.486285m
3.516m,113.215148m,118.01362m
3.531m,113.185346m,117.519498m
3.547m,113.173425m,117.042661m
3.563m,113.166273m,116.505623m
3.578m,113.112926m,115.989149m
3.594m,113.103688m,115.501285m
3.609m,113.097429m,115.006566m
3.625m,113.08372m,114.583969m
3.641m,113.100111m,114.189088m
3.656m,113.094747m,113.830268m
3.672m,113.112926m,113.461018m
3.688m,113.095045m,113.031268m
3.703m,113.094449m,112.698078m
3.719m,113.112032m,112.447441m
3.734m,113.072693m,112.167299m
3.750m,113.044977m,111.888945m
3.766m,113.031864m,111.697316m
3.781m,113.022625m,111.587048m
3.797m,113.02799m,111.460984m
3.812m,113.022327m,111.412704m
3.828m,113.00832m,111.455619m
3.844m,113.018155m,111.536384m
3.859m,113.013089m,111.730397m
3.875m,113.030076m,111.944675m
3.891m,113.062561m,112.214386m
3.906m,113.068819m,112.541318m
3.922m,113.093853m,112.866163m
