Time (s) - CH 0,Voltage (V) - CH 0,Voltage (V) - CH 1
0,114.068091m,115.492046m
15.625u,114.086568m,115.410089m
31.250u,114.064515m,115.317404m
46.875u,114.068091m,115.231276m
62.500u,114.091337m,115.089118m
78.125u,114.082396m,114.953518m
93.750u,114.107728m,114.783049m
109.375u,114.121735m,114.586055m
125.000u,114.119649m,114.347041m
140.625u,114.192069m,114.023089m
156.250u,114.274621m,113.64311m
171.875u,114.376843m,113.215446m
187.500u,114.466846m,112.804472m
203.125u,114.547014m,112.407207m
218.750u,114.682317m,112.027228m
234.375u,114.791691m,111.632943m
250.000u,114.919841m,111.300051m
265.625u,115.030408m,111.03332m
281.250u,115.132332m,110.794604m
296.875u,115.259588m,110.691786m
312.500u,115.352571m,110.652745m
328.125u,115.453899m,110.702217m
343.750u,115.537941m,110.812187m
359.375u,115.614831m,110.994279m
375.000u,115.695298m,111.402869m
390.625u,115.706623m,111.859143m
406.250u,115.699172m,112.348795m
421.875u,115.706921m,112.974346m
437.500u,115.709305m,113.623142m
453.125u,115.677416m,114.333928m
468.750u,115.629137m,115.062296m
484.375u,115.61662m,115.712583m
500.000u,115.556717m,116.35989m
515.625u,115.48996m,116.995275m
531.250u,115.463734m,117.669404m
546.875u,115.366578m,118.33638m
562.500u,115.271509m,118.90918m
578.125u,115.218163m,119.478405m
593.750u,115.095675m,120.04137m
609.375u,114.992261m,120.547116m
625.000u,114.873052m,120.992959m
640.625u,114.722252m,121.372044m
656.250u,114.622414m,121.636689m
671.875u,114.494264m,121.806264m
687.500u,114.400685m,121.866763m
703.125u,114.279389m,121.824145m
718.750u,114.13604m,121.695995m
734.375u,114.059448m,121.448636m
750.000u,113.943815m,121.101737m
765.625u,113.833845m,120.681524m
781.250u,113.723278m,120.229423m
796.875u,113.580525m,119.711757m
812.500u,113.484263m,119.134784m
828.125u,113.399625m,118.483901m
843.750u,113.289952m,117.761493m
859.375u,113.176703m,117.020309m
875.000u,113.094151m,116.26631m
890.625u,113.011599m,115.541816m
906.250u,112.921894m,114.758313m
921.875u,112.846792m,113.944113m
937.500u,112.77169m,113.197267m
953.125u,112.705231m,112.469196m
968.750u,112.635791m,111.819804m
984.375u,112.569928m,111.234188m
1.000m,112.512112m,110.684633m
1.016m,112.476945m,110.230744m
1.031m,112.423897m,109.821558m
1.047m,112.372041m,109.509528m
1.063m,112.322271m,109.326541m
1.078m,112.286806m,109.168589m
1.094m,112.285018m,109.081268m
1.109m,112.215877m,109.118521m
1.125m,112.215579m,109.202564m
1.141m,112.248957m,109.310448m
1.156m,112.211704m,109.522641m
1.172m,112.200379m,109.886825m
1.187m,112.189054m,110.320151m
1.203m,112.18071m,110.844076m
1.219m,112.151206m,111.492574m
1.234m,112.118721m,112.111866m
1.250m,112.150908m,112.728775m
1.266m,112.168491m,113.398731m
1.281m,112.176239m,114.043355m
1.297m,112.233162m,114.666522m
1.313m,112.267733m,115.253329m
1.328m,112.309456m,115.850866m
1.344m,112.335682m,116.465986m
1.359m,112.378597m,116.990507m
1.375m,112.467706m,117.460489m
1.391m,112.487376m,117.859244m
1.406m,112.571418m,118.215978m
1.422m,112.667382m,118.587017m
1.437m,112.701356m,118.90322m
1.453m,112.763941m,119.16399m
1.469m,112.829506m,119.369328m
1.484m,112.92249m,119.519532m
1.500m,112.956166m,119.641125m
1.516m,112.988651m,119.693577m
1.531m,113.118887m,119.634867m
1.547m,113.16359m,119.550824m
1.563m,113.179684m,119.466186m
1.578m,113.253295m,119.312406m
1.594m,113.332868m,119.021833m
1.609m,113.410056m,118.724406m
1.625m,113.450289m,118.445158m
1.641m,113.518536m,118.038952m
1.656m,113.59185m,117.604434m
1.672m,113.654137m,117.135942m
1.687m,113.732517m,116.664767m
1.703m,113.79838m,116.187334m
1.719m,113.856792m,115.656257m
1.734m,113.918483m,115.138292m
1.750m,113.992989m,114.602745m
1.766m,114.08329m,114.072859m
1.781m,114.172697m,113.54655m
1.797m,114.247203m,113.05958m
1.813m,114.324093m,112.636089m
1.828m,114.390254m,112.273097m
1.844m,114.467144m,111.922324m
1.859m,114.57473m,111.522675m
1.875m,114.67427m,111.254752m
1.891m,114.728808m,111.143887m
1.906m,114.769638m,111.041367m
1.922m,114.863515m,110.960901m
1.937m,114.937723m,110.95345m
1.953m,114.979744m,111.00471m
1.969m,115.06021m,111.120343m
1.984m,115.103424m,111.28962m
2.000m,115.157366m,111.46903m
2.016m,115.225613m,111.677945m
2.031m,115.286708m,111.935735m
2.047m,115.379095m,112.227798m
2.063m,115.403533m,112.604499m
2.078m,115.475655m,113.019943m
2.094m,115.552247m,113.341808m
2.109m,115.569234m,113.72596m
2.125m,115.637481m,114.206076m
2.141m,115.663707m,114.628077m
2.156m,115.70096m,114.956498m
2.172m,115.759969m,115.278661m
