Time (s) - CH 0,Voltage (V) - CH 0,Voltage (V) - CH 1
2.531m,115.180314m,115.546882m
2.547m,115.071237m,115.992427m
2.563m,114.96067m,116.329491m
2.578m,114.862919m,116.7202m
2.594m,114.753544m,117.082894m
2.609m,114.634335m,117.39552m
2.625m,114.526153m,117.729604m
2.641m,114.41201m,118.014812m
2.656m,114.289224m,118.303299m
2.672m,114.148259m,118.581951m
2.688m,114.035904m,118.769109m
2.703m,113.92206m,118.924379m
2.719m,113.777518m,119.028091m
2.734m,113.638639m,119.137466m
2.750m,113.492608m,119.223297m
2.766m,113.330781m,119.22121m
2.781m,113.173425m,119.226575m
2.797m,113.032758m,119.149387m
2.812m,112.888813m,119.012892m
2.828m,112.737119m,118.812323m
2.844m,112.607479m,118.527114m
2.859m,112.497807m,118.21568m
2.875m,112.410486m,117.805302m
2.891m,112.33151m,117.342472m
2.906m,112.247169m,116.846561m
2.922m,112.181008m,116.322935m
2.938m,112.163424m,115.756094m
2.953m,112.171769m,115.131438m
2.969m,112.18667m,114.502013m
2.984m,112.226009m,113.847554m
3.000m,112.249553m,113.164783m
3.016m,112.329125m,112.481415m
3.031m,112.425089m,111.860931m
3.047m,112.52135m,111.290514m
3.063m,112.628043m,110.773146m
3.078m,112.712681m,110.298097m
3.094m,112.848878m,109.904408m
3.109m,112.981498m,109.615326m
3.125m,113.094747m,109.359026m
3.141m,113.220513m,109.290481m
3.156m,113.359988m,109.307468m
3.172m,113.46668m,109.394789m
3.188m,113.551617m,109.679997m
3.203m,113.632977m,110.029578m
3.219m,113.714635m,110.478401m
3.234m,113.791525m,111.008286m
3.250m,113.856196m,111.628473m
3.266m,113.918185m,112.330616m
3.281m,113.958716m,113.032758m
3.297m,114.010572m,113.784075m
3.312m,114.060342m,114.614666m
3.328m,114.094913m,115.478933m
3.344m,114.093125m,116.299093m
3.359m,114.13455m,117.104053m
3.375m,114.181042m,117.90663m
3.391m,114.13753m,118.682981m
3.406m,114.153624m,119.454265m
3.422m,114.180148m,120.153427m
3.438m,114.157498m,120.759308m
3.453m,114.161074m,121.315718m
3.469m,114.127994m,121.789873m
3.484m,114.10445m,122.202933m
3.500m,114.08329m,122.538507m
3.516m,114.039779m,122.743249m
3.531m,114.031732m,122.848451m
3.547m,113.983154m,122.8562m
3.563m,113.957822m,122.765601m
