Time (s) - CH 0,Voltage (V) - CH 0,Voltage (V) - CH 1
2.531m,113.930702m,114.607811m
2.547m,113.94918m,114.383698m
2.563m,113.956928m,114.216506m
2.578m,113.973022m,114.032924m
2.594m,113.984644m,113.90835m
2.609m,113.994777m,113.849342m
2.625m,114.032626m,113.795102m
2.641m,114.029944m,113.801658m
2.656m,114.042163m,113.838911m
2.672m,114.02607m,113.95812m
2.688m,114.002526m,114.166439m
2.703m,114.009082m,114.266276m
2.719m,114.012063m,114.320517m
2.734m,114.040673m,114.359558m
2.750m,114.063919m,114.387572m
2.766m,114.061832m,114.46476m
2.781m,114.070475m,114.56579m
2.797m,114.05617m,114.672184m
2.812m,114.055872m,114.808679m
2.828m,114.088655m,114.982426m
2.844m,114.087164m,115.128458m
2.859m,114.109814m,115.30906m
2.875m,114.1119m,115.567148m
2.891m,114.114285m,115.863085m
2.906m,114.08329m,116.235018m
2.922m,114.034116m,116.648376m
2.938m,114.035308m,117.096305m
2.953m,113.954842m,117.677748m
2.969m,113.927722m,118.215978m
2.984m,113.90388m,118.658841m
3.000m,113.819838m,119.128823m
3.016m,113.782883m,119.524598m
3.031m,113.695264m,119.892955m
3.047m,113.637149m,120.19217m
3.063m,113.584995m,120.381415m
3.078m,113.509893m,120.44251m
3.094m,113.48784m,120.37158m
3.109m,113.429725m,120.286345m
3.125m,113.392174m,120.024085m
3.141m,113.365948m,119.65692m
3.156m,113.345385m,119.244456m
3.172m,113.363862m,118.684173m
3.188m,113.345981m,118.055344m
3.203m,113.36863m,117.333233m
3.219m,113.407671m,116.533339m
3.234m,113.412738m,115.706921m
3.250m,113.460422m,114.941597m
3.266m,113.501549m,114.209056m
3.281m,113.51645m,113.448501m
3.297m,113.554001m,112.739801m
3.312m,113.580525m,111.973584m
3.328m,113.65056m,111.185908m
3.344m,113.72447m,110.484958m
3.359m,113.782585m,109.808743m
3.375m,113.888085m,109.245777m
3.391m,113.915503m,108.814836m
3.406m,113.963187m,108.394325m
3.422m,114.081502m,108.02865m
3.438m,114.145577m,107.802451m
3.453m,114.229023m,107.631683m
3.469m,114.28833m,107.542276m
3.484m,114.340186m,107.654929m
3.500m,114.455223m,107.912421m
3.516m,114.498138m,108.214617m
3.531m,114.560127m,108.606815m
3.547m,114.626884m,109.120607m
3.563m,114.679635m,109.67344m
3.578m,114.803612m,110.259354m
3.594m,114.871562m,110.892653m
3.609m,114.93355m,111.59569m
3.625m,114.969611m,112.378895m
3.641m,115.028918m,113.193989m
3.656m,115.104914m,114.039183m
3.672m,115.102828m,114.902258m
3.688m,115.176737m,115.733147m
3.703m,115.228295m,116.546154m
3.719m,115.23515m,117.357969m
3.734m,115.291178m,118.113756m
3.750m,115.333498m,118.802488m
3.766m,115.366876m,119.429231m
3.781m,115.39638m,119.996667m
3.797m,115.435719m,120.490789m
3.812m,115.455389m,120.885074m
3.828m,115.445554m,121.209025m
3.844m,115.471184m,121.454597m
3.859m,115.477741m,121.564865m
3.875m,115.478933m,121.594369m
3.891m,115.518272m,121.584237m
3.906m,115.493834m,121.506155m
3.922m,115.480423m,121.373236m
3.938m,115.47327m,121.128857m
3.953m,115.442872m,120.755136m
3.969m,115.465522m,120.262504m
3.984m,115.457177m,119.659305m
4.000m,115.473866m,118.971467m
4.016m,115.481615m,118.269324m
4.031m,115.445852m,117.613375m
4.047m,115.440488m,116.966367m
4.063m,115.382075m,116.332471m
4.078m,115.341246m,115.664899m
4.094m,115.330219m,115.027428m
4.109m,115.269423m,114.428699m
4.125m,115.233064m,113.797486m
4.141m,115.199983m,113.182366m
4.156m,115.140676m,112.678111m
4.172m,115.092099m,112.304687m
4.188m,115.028024m,111.910701m
4.203m,114.965737m,111.522675m
4.219m,114.90941m,111.17816m
4.234m,114.864111m,110.871494m
4.250m,114.82358m,110.59761m
4.266m,114.763081m,110.419095m
4.281m,114.723742m,110.358894m
4.297m,114.689767m,110.268891m
4.313m,114.64566m,110.191405m
4.328m,114.600956m,110.244155m
4.344m,114.554167m,110.394955m
4.359m,114.510357m,110.567212m
4.375m,114.481747m,110.823512m
4.391m,114.422739m,111.15402m
4.406m,114.366114m,111.558437m
4.422m,114.316642m,112.03289m
4.438m,114.244819m,112.505257m
4.453m,114.244819m,112.984776m
4.469m,114.207566m,113.489926m
4.484m,114.147365m,114.012063m
4.500m,114.086866m,114.558637m
4.516m,114.018321m,115.202069m
4.531m,113.976002m,115.830302m
4.547m,113.90537m,116.406381m
4.562m,113.871992m,116.993785m
4.578m,113.812387m,117.536485m
4.594m,113.765299m,117.992163m
4.609m,113.72m,118.439198m
4.625m,113.630593m,118.90918m
4.641m,113.608837m,119.276047m
4.656m,113.577247m,119.50165m
4.672m,113.502741m,119.625926m
4.687m,113.481283m,119.714141m
4.703m,113.436282m,119.773448m
4.719m,113.377571m,119.791627m
4.734m,113.371909m,119.668543m
4.750m,113.343894m,119.445622m
4.766m,113.326907m,119.2981m
4.781m,113.276541m,119.100809m
4.797m,113.254189m,118.767023m
4.812m,113.247633m,118.446052m
4.828m,113.201141m,118.090808m
4.844m,113.226175m,117.645562m
4.859m,113.201439m,117.261112m
4.875m,113.166273m,116.834641m
4.891m,113.16359m,116.358101m
4.906m,113.134384m,115.931332m
4.922m,113.139749m,115.497112m
4.938m,113.133192m,115.054548m
4.953m,113.116205m,114.591122m
4.969m,113.115609m,114.180148m
4.984m,113.109648m,113.827586m
5.000m,113.109052m,113.442242m
5.016m,113.111138m,113.061368m
5.031m,113.120079m,112.759471m
5.047m,113.131404m,112.473369m
5.063m,113.140941m,112.185776m
5.078m,113.173127m,111.955702m
5.094m,113.179684m,111.774504m
5.109m,113.180578m,111.688375m
5.125m,113.192201m,111.670494m
5.141m,113.17879m,111.683905m
5.156m,113.225877m,111.749768m
5.172m,113.237202m,111.835003m
5.188m,113.227665m,111.994743m
5.203m,113.279819m,112.245083m
5.219m,113.298297m,112.45966m
5.234m,113.343894m,112.690032m
5.250m,113.346875m,113.185644m
5.266m,113.281012m,113.912821m
5.281m,113.26164m,114.598572m
5.297m,113.249123m,115.28939m
5.313m,113.221407m,116.045773m
5.328m,113.219023m,116.634667m
5.344m,113.26313m,116.980374m
5.359m,113.289654m,117.323995m
5.375m,113.295317m,117.771626m
5.391m,113.299191m,118.201673m
5.406m,113.285482m,118.644536m
5.422m,113.305748m,119.023025m
5.438m,113.323331m,119.269788m
5.453m,113.333166m,119.384527m
5.469m,113.390088m,119.312108m
5.484m,113.449991m,119.193196m
5.500m,113.480687m,119.080544m
5.516m,113.495588m,118.973553m
5.531m,113.516152m,118.873119m
5.547m,113.559067m,118.670762m
5.562m,113.604963m,118.338466m
5.578m,113.64311m,117.944777m
5.594m,113.70033m,117.456615m
5.609m,113.759637m,116.90259m
5.625m,113.818049m,116.39446m
5.641m,113.875866m,115.887821m
5.656m,113.922656m,115.425289m
5.672m,113.981664m,114.967823m
5.687m,114.064515m,114.455223m
5.703m,114.106834m,113.947988m
5.719m,114.129782m,113.477707m
5.734m,114.21442m,113.042593m
5.750m,114.268661m,112.609863m
5.766m,114.295781m,112.276077m
5.781m,114.313364m,111.992061m
5.797m,114.36224m,111.662745m
5.812m,114.437938m,111.401975m
5.828m,114.475787m,111.190975m
5.844m,114.52198m,110.968649m
5.859m,114.563107m,110.808015m
5.875m,114.642084m,110.680163m
5.891m,114.6999m,110.635757m
5.906m,114.753246m,110.64738m
5.922m,114.843547m,110.610127m
5.938m,114.910305m,110.706091m
5.953m,114.966929m,110.874474m
5.969m,115.027428m,111.063719m
5.984m,115.110874m,111.348331m
6.000m,115.171075m,111.66364m
6.016m,115.211904m,112.07372m
6.031m,115.268528m,112.537146m
6.047m,115.352571m,113.034844m
6.063m,115.386248m,113.607645m
6.078m,115.396082m,114.238858m
6.094m,115.439296m,114.933848m
6.109m,115.442276m,115.667284m
6.125m,115.442276m,116.476119m
6.141m,115.404427m,117.294192m
6.156m,115.378201m,118.080378m
6.172m,115.381479m,118.897855m
6.188m,115.329027m,119.642019m
6.203m,115.267336m,120.332539m
6.219m,115.192831m,120.997429m
6.234m,115.157068m,121.555328m
6.250m,115.084946m,122.038722m
6.266m,114.9863m,122.420788m
6.281m,114.936233m,122.696161m
6.297m,114.835501m,122.827888m
6.313m,114.788413m,122.792721m
6.328m,114.728808m,122.682154m
6.344m,114.626586m,122.425258m
6.359m,114.56877m,122.021735m
6.375m,114.490092m,121.517479m
6.391m,114.43615m,120.881796m
6.406m,114.379227m,120.172799m
6.422m,114.306808m,119.360983m
6.438m,114.270449m,118.451118m
6.453m,114.236474m,117.503107m
6.469m,114.18134m,116.520524m
6.484m,114.15273m,115.517676m
6.500m,114.096105m,114.506185m
6.516m,114.032924m,113.493502m
6.531m,114.020705m,112.501979m
6.547m,113.985538m,111.547709m
6.562m,113.958716m,110.557675m
6.578m,113.943219m,109.615326m
6.594m,113.934875m,108.777285m
6.609m,113.903284m,108.009279m
6.625m,113.880336m,107.350051m
6.641m,113.884807m,106.755197m
6.656m,113.862157m,106.327534m
6.672m,113.854706m,106.018484m
6.687m,113.858581m,105.774701m
6.703m,113.865733m,105.626285m
6.719m,113.865733m,105.588436m
6.734m,113.868117m,105.716884m
6.750m,113.893449m,105.857253m
6.766m,113.893151m,106.160343m
6.781m,113.903582m,106.630623m
6.797m,113.930404m,107.127428m
6.812m,113.92355m,107.727647m
6.828m,113.934278m,108.427405m
6.844m,113.943517m,109.236836m
6.859m,113.963187m,110.054612m
6.875m,114.00044m,110.90517m
6.891m,113.991499m,111.832619m
6.906m,114.002228m,112.79732m
6.922m,114.03352m,113.731325m
6.938m,114.021599m,114.658773m
6.953m,114.037693m,115.638673m
6.969m,114.068389m,116.601288m
6.984m,114.041865m,117.560327m
7.000m,114.038289m,118.442178m
7.016m,114.067197m,119.234622m
7.031m,114.095211m,119.963884m
7.047m,114.11339m,120.607913m
7.063m,114.095211m,121.230483m
7.078m,114.11339m,121.705532m
7.094m,114.139915m,122.054219m
7.109m,114.146769m,122.354031m
7.125m,114.168227m,122.50632m
7.141m,114.175081m,122.607052m
7.156m,114.162266m,122.599006m
7.172m,114.170611m,122.428834m
7.188m,114.189684m,122.145116m
7.203m,114.169121m,121.807754m
7.219m,114.201605m,121.41943m
7.234m,114.230216m,120.874047m
7.250m,114.190876m,120.239258m
7.266m,114.21293m,119.568706m
7.281m,114.238262m,118.921399m
7.297m,114.234686m,118.236542m
